,LATITUDE,LONGITUDE
353,37.79344477,-122.23365827
354,37.79486641,-122.26674813
355,37.77441892,-122.18024484
356,37.8294793,-122.26064676
357,37.80883775,-122.25377644
358,37.80883775,-122.25377644
359,37.8387705,-122.25066844
360,37.73031401,-122.18638594
361,37.80196963,-122.28897322
362,37.8256088,-122.28295585
363,37.83753387,-122.27251547
364,37.80670575,-122.21476288
365,37.84480226,-122.26358024
366,37.80355721,-122.23001862
367,37.78281525,-122.23073202
368,37.80695199,-122.27062523
369,37.79496545,-122.17209553
370,37.80883775,-122.25377644
371,37.84137448,-122.2479948
372,37.74152574,-122.16814452
373,37.83059312,-122.2228914
374,37.81718718,-122.25629252
375,37.7968223,-122.25993731
376,37.80228925,-122.2255503
377,37.77825216,-122.19542957
378,37.80684033,-122.26967912
379,37.83731407,-122.278838
380,37.8089899,-122.24765689
381,37.78634912,-122.19687404
382,37.80992066,-122.23993529
383,37.80587073,-122.218168
384,37.79733601,-122.26446092
385,37.79969924,-122.24828411
386,37.80723573,-122.25302126
387,37.81263422,-122.26501122
388,37.81585621,-122.26390848
389,37.80106993,-122.27583179
390,37.83607625,-122.27093749
391,37.80997196,-122.25373766
392,37.77605782,-122.19267346
393,37.77228866,-122.16708451
394,37.81148923,-122.26567213
395,37.74612486,-122.15918645
396,37.81148852,-122.18635668
397,37.83729092,-122.26926321
398,37.80883775,-122.25377644
399,37.8345114,-122.2611469
400,37.79513615,-122.26759112
401,37.83615263,-122.26249384
402,37.83743221,-122.27879601
403,37.81843463,-122.26119933
404,37.80997504,-122.28779284
405,37.79253472,-122.21419601
406,37.84942123,-122.24457752
407,37.80444173,-122.21538147
408,37.82822161,-122.21039994
409,37.82589368,-122.28534399
410,37.80727387,-122.25037385
411,37.77783686,-122.20729402
412,37.77296554,-122.19000875
413,37.82386321,-122.26191485
414,37.7859399,-122.14581233
415,37.82716462,-122.25683495
416,37.81185169,-122.24673478
417,37.85871145,-122.23884477
418,37.81148852,-122.18635668
419,37.79951043,-122.27436408
420,37.80002666,-122.26202605
421,37.74027007,-122.15088174
422,37.79066805,-122.21992707
423,37.77929306,-122.20622255
424,37.72944169,-122.19385129
425,37.84785675,-122.25027191
426,37.78158568,-122.19950867
427,37.8014886,-122.27896107
428,37.84967068,-122.21225269
429,37.77064029,-122.19858113
430,37.77618872,-122.20656592
431,37.83835228,-122.26499198
432,37.83948108,-122.25931762
433,37.817818,-122.258189
434,37.82887947,-122.21290029
435,37.83014624,-122.21130796
436,37.78362301,-122.172061
437,37.80669232,-122.2699673
438,37.78762877,-122.21669304
439,37.78239747,-122.20405656
440,37.80076799,-122.27759717
441,37.84645462,-122.23358917
442,37.7936318,-122.19559412
443,37.84323766,-122.26732671
444,37.85969599,-122.22967093
445,37.81413179,-122.20910395
446,37.80884272,-122.25378964
447,37.81141457,-122.24796564
448,37.84816188,-122.24950592
449,37.81024222,-122.24661489
450,37.79255026,-122.19335199
451,37.82215419,-122.21265277
452,37.78461339,-122.20375601
453,37.80893036,-122.25489839
454,37.7809796,-122.22406097
455,37.8403738,-122.22054202
456,37.79983525,-122.23889722
457,37.80937267,-122.1861217
458,37.79725174,-122.1945478
459,37.76280655,-122.17640876
460,37.80023456,-122.23202969
461,37.77453093,-122.21378296
462,37.80384077,-122.26563373
463,37.83076199,-122.19861422
464,37.74988004,-122.15876701
465,37.77782714,-122.22882069
466,37.77184785,-122.22999014
467,37.83908443,-122.26863193
468,37.83712616,-122.21120368
469,37.83685746,-122.21130319
470,37.81071448,-122.29156954
471,37.80876958,-122.2481884
472,37.74242061,-122.14498929
473,37.80588975,-122.29714375
474,37.82926926,-122.26450683
475,37.84724886,-122.26036913
476,37.8089142,-122.25486965
477,37.82719365,-122.26481667
478,37.79894216,-122.28350563
479,37.79209435,-122.23855867
480,37.75623153,-122.16166658
481,37.75337841,-122.1856056
482,37.82579407,-122.25104588
483,37.8244069,-122.27099043
484,37.83715915,-122.26113419
485,37.80290304,-122.26989037
486,37.82913548,-122.24916852
487,37.77537312,-122.16419054
488,37.80902328,-122.24765671
489,37.806319,-122.26704923
490,37.76091282,-122.17714757
